timestamp,Solar Power
1,7.452983352965188
2,53.32300871594317
3,110.15636572482917
4,182.20496159068443
5,331.44969157967074
6,535.275386258687
7,444.13507719524597
8,665.4361864609712
9,590.9425906145715
10,548.830318387505
11,815.9428332918683
12,871.546237694894
13,927.339497775765
14,1333.0226281994376
15,1152.6827946340234
16,1365.3802303462396
17,1400.91831814107
18,1177.9042555333185
19,1696.479157685043
20,1846.2257015977748
21,1304.48778625585
22,1292.3281310110751
23,1373.9752853826608
24,878.5360068792115
25,1133.9111766062385
26,987.8740858277404
27,896.2231580777894
28,1110.86997693239
29,1232.5470583322567
30,1604.690110224903
31,1391.0437532265817
32,1787.2512134030956
33,2000.0
34,1586.4259382260418
35,1172.026791530345
36,916.0356839381309
37,1347.3182804053272
38,1578.6412906880482
39,1008.9966645356332
40,897.5746000993919
41,808.1236961749593
42,595.8319167171479
43,412.11924697347524
44,316.69560570285137
45,267.02420381031
46,230.8935428692612
47,153.81399036073256
48,88.83312033166452
49,59.12081559987187
50,36.46915309852883
51,9.723768382125405
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
