timestamp,Solar Power
1,7.452983352965188
2,49.32300871594317
3,102.15636572482917
4,166.20496159068443
5,302.44969157967074
6,492.27538625868704
7,492.13507719524597
8,660.4361864609712
9,649.9425906145715
10,549.830318387505
11,745.9428332918683
12,832.546237694894
13,927.339497775765
14,1248.0226281994376
15,1235.6827946340234
16,1263.3802303462396
17,1303.91831814107
18,1192.9042555333185
19,1627.479157685043
20,1755.2257015977748
21,1400.48778625585
22,1330.3281310110751
23,1350.9752853826608
24,885.5360068792115
25,1038.9111766062385
26,993.8740858277404
27,971.2231580777894
28,1099.86997693239
29,1223.5470583322567
30,1521.690110224903
31,1443.0437532265817
32,1653.2512134030956
33,2000.0
34,1703.4259382260418
35,1216.026791530345
36,990.0356839381309
37,1322.3182804053272
38,1529.6412906880482
39,1019.9966645356332
40,904.5746000993919
41,894.1236961749593
42,635.8319167171479
43,441.11924697347524
44,337.69560570285137
45,271.02420381031
46,255.8935428692612
47,156.81399036073256
48,88.83312033166452
49,60.12081559987187
50,38.46915309852883
51,9.723768382125405
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
